title,price,Habitaciones/Baños/Area,agencia
Bodega en  Arriendo,$ 34.300.000,"5, ,Baños,1697, m²",BAI Asesoría Inmobiliaria & Jurídica
Casa en  Arriendo,$ 2.900.000,"3 Habs., ,4, ,Baños,132, m²",Rento Inmobiliaria
Apartaestudio en  Arriendo,$ 1.300.000,"1 Habs., ,1, ,Baño,40.32, m²",ALMA ASESORES INMOBILIARIOS SAS
Apartamento en  Arriendo,$ 1.235.000,"3 Habs., ,2, ,Baños,55, m²",D.C COLOMBIA S.A.S.
Apartamento en  Arriendo,$ 2.400.000,"3 Habs., ,2, ,Baños,89.24, m²",BAI Asesoría Inmobiliaria & Jurídica
Local en  Arriendo,$ 3.500.000,"1 Ambiente, ,1, ,Baño,128, m²",Valores Grupo Inmobiliario
Bodega en  Arriendo,$ 5.200.000,"2, ,Baños,300, m²",CEDAR GRUPO INMOBILIARIO
Apartamento en  Arriendo,$ 1.800.000,"3 Habs., ,2, ,Baños,90, m²",BAI Asesoría Inmobiliaria & Jurídica
Apartamento en  Arriendo,$ 2.600.000,"3 Habs., ,2, ,Baños,65, m²",Inmobiliaria J. Uribe
Casa en  Arriendo,$ 6.500.000,"5 Habs., ,3, ,Baños,350, m²",Vivienda Inmobiliaria CYS SAS
Apartamento en  Arriendo,$ 1.900.000,"2 Habs., ,2, ,Baños,62, m²",CASARTE INMOBILIARIA
Apartamento en  Arriendo,$ 1.500.000,"2 Habs., ,2, ,Baños,60, m²",RENTA INMOBILIARIA BUCARAMANGA S.A.S
Apartamento en  Arriendo,$ 1.526.000,"1 Habs., ,1, ,Baño,36, m²",Acevedo & Cia S.A.S  - Asesores Inmobiliarios
Bodega en  Arriendo,$ 5.000.000,"1, ,Baño,80, m²",AGENTE INMOBILIARIO EDISON LOPEZ
Finca en  Arriendo,$ 3.400.000,"3 Habs., ,2, ,Baños,4000, m²",Arrendamientos Envigado
Casa en  Arriendo,$ 2.800.000,"4 Habs., ,2, ,Baños,180, m²",Epicasa Propiedad Raiz S.A.S.
Bodega en  Arriendo,$ 5.470.000,"3 Habs., ,4, ,Baños,240, m²",CEDAR GRUPO INMOBILIARIO
Apartamento en  Arriendo,$ 3.300.000,"3 Habs., ,2, ,Baños,90, m²",Centro de Negocios Torre Pisa
Bodega en  Arriendo,$ 18.900.000,"4, ,Baños,1100, m²",Alianza Inmobiliaria V&G SAS
Bodega en arriendo,$ 45.000.000,"1 Habs., ,8, ,Baños,2700, m²",OP Agente Inmobiliario
Apartamento en  Arriendo,$ 3.500.000,"3 Habs., ,2, ,Baños,99, m²",EME INMOBILIARIA SAS
